tag,n_rows,n_speakers,mean_duration_s
firm but kind,9,9,18.542
voice dropping to barely audible,9,9,15.505
detached,9,9,15.074
"softer, almost pleading",9,9,12.630
"quieter, amazed",9,9,14.124
voice faltering slightly,9,9,13.599
words dragging,9,9,17.756
ominously,9,9,15.143
voice floating upward,9,8,15.504
voice quavering with emotion,9,9,16.216
voice rising to near shout,9,9,15.811
whispered intensely,9,9,15.285
gushing,9,9,14.809
forced calm,9,9,17.193
determined exhale,9,9,16.184
laughing joyfully,9,9,14.610
"quieter, sadly",9,9,11.009
sudden shout,9,9,13.820
silence,9,2,13.980
defensive grumble,9,9,17.273
"normal accent, uncertain",9,9,13.183
eager,9,9,15.018
mock indignation,9,9,13.200
muffled sob,9,9,15.520
disappointed groan,9,9,16.019
satisfied grunt,9,8,16.913
voice softening with memory,9,9,13.119
"scouse accent, defensive tone",9,9,13.566
voice getting quieter with each word,9,9,14.451
coughing,9,9,14.937
simply,9,9,15.498
words dissolving,9,9,19.630
"normal voice, pleased",9,9,15.009
voice becoming formal,9,9,18.137
deadpan delivery,9,9,14.506
rapid-fire questions,9,8,13.362
pleading whisper,9,9,16.164
voice growing darker,9,9,18.641
mischievous,9,9,15.417
quieter disbelief,9,9,15.778
rushing words together,9,9,14.036
"regular voice, thoughtfully",9,8,15.333
giggling softly,9,9,16.289
delighted tone,9,9,16.735
incredulous whisper,9,8,16.160
firm declaration,9,8,14.616
angry now,9,9,17.081
"new york accent, contemplative",9,5,13.995
voice dancing with happiness,9,9,13.272
"boston accent, firmly",9,4,9.076
boston accent,9,4,11.465
tsking sound,9,9,14.541
"new york accent, quieter",9,4,13.669
"filipino accent, urgently",8,7,9.642
pleadingly,8,8,16.243
vulnerable whisper,8,7,17.424
wryly,8,7,17.407
"chinese accent, measured pace",8,8,13.001
meaningful pause,8,7,15.661
cold and measured,8,8,14.444
cackling with glee,8,8,14.520
light laugh,8,6,13.032
mockingly sympathetic,8,7,15.458
passionate crescendo,8,8,12.019
sniffling laugh,8,8,16.994
excitedly rushing,8,8,14.012
choked gasp,8,8,14.951
hiccups,8,8,16.088
rapidly with glee,8,8,14.548
composed breath,8,8,14.793
dreamily fast,8,8,14.560
laughs warmly,8,8,18.576
grinning tone,8,8,16.590
gradually warming,8,8,18.174
suspicious grunt,8,7,18.941
defensively fast,8,8,16.639
mock scolding,8,8,13.091
strangled cry,8,8,15.339
amused snort,8,8,17.960
serious again,8,8,16.600
suggestively,8,8,18.819
sentimentally,8,8,16.104
mock innocence,8,8,15.890
forced cheerfulness,8,8,16.851
humbly pleased,8,8,15.238
gulping sob,8,7,18.009
surprised delight,8,8,16.715
"normal voice, apologetically",8,8,13.752
"french accent, pompously",8,5,17.759
hastily,8,8,15.449
voice dripping contempt,8,8,11.720
agitated,8,8,16.129
wondering,8,8,14.106
gleeful laugh,8,8,15.895
more sharply,8,8,15.336
voice accelerating with thrill,8,8,12.923
dismissive tone,8,8,13.630
delighted cackle,8,8,17.271
fading whisper,8,7,20.207
"australian accent, thoughtfully",8,8,13.695
trailing off wistfully,8,8,17.518
sardonic chuckle,8,8,16.177
higher pitched,8,8,13.207
frustrated again,8,8,14.577
warming tone,8,8,17.897
voice fracturing,8,8,14.037
deep rumble,8,7,17.753
defensive rush,8,8,15.386
voice filled with wonder,8,8,13.759
in a bright tone,8,8,14.207
erupting with happiness,8,8,16.075
intense whisper,8,8,18.330
joyful exclamation,8,8,13.317
tsks,8,8,17.932
more broken,8,8,16.313
more insistent,8,8,14.602
frustrated whisper,8,7,16.509
voice becoming tender,8,8,14.641
dramatic gasp,8,8,17.007
considering pause,8,8,13.467
grateful sob,8,7,17.358
voice building dramatically,8,7,15.125
dismissive wave in voice,8,8,13.152
"chinese accent, measured tone",8,8,10.603
brightening suddenly,8,8,13.046
"german accent, wearily",8,6,12.980
pleading sweetly,8,8,12.802
"posh british accent, icily",8,5,14.194
"posh british accent, haughtily",8,6,15.194
"german accent, gently",8,5,14.702
almost screaming,8,8,11.101
spanish accent,8,4,14.798
icy precision,8,8,15.014
practical tone,8,8,16.122
voice thick with joy,8,8,15.746
"quieter, uncertain",8,8,13.904
quicker,8,8,14.657
building courage,8,8,17.036
words dancing out,8,8,15.671
voice overflowing with gratitude,8,8,16.379
in a sultry tone,8,8,16.987
peaceful tone,8,8,19.179
gentle hum,8,7,20.353
cheerfully sarcastic,8,8,15.521
nervous energy,8,8,15.046
delighted trill,8,7,17.834
thoughtfully quiet,8,8,15.631
racing through words,8,8,15.790
reassuring murmur,8,8,14.415
more suspiciously,8,8,16.872
"german accent, warmly",8,4,12.122
sarcastic edge,8,8,14.183
voice growing steadier,8,8,15.798
cold fury,8,8,14.491
slowing meaningfully,8,8,14.870
sharper tone,8,8,15.032
getting louder with excitement,8,8,14.712
voice bright with pride,8,8,13.555
voice hardening slightly,8,8,16.110
stammering voice,8,8,13.050
increasingly hysterical,8,8,13.976
keening,8,8,15.046
bouncing rhythm,8,8,14.147
nostalgic sigh,8,8,16.695
amused disbelief,8,8,16.301
in a shaky whisper,8,8,14.303
distant,8,8,17.756
growing excitement,8,7,13.858
indignant squeak,8,8,13.433
breathing excitedly,8,8,14.209
"quieter, sincere",8,8,14.247
trill,8,8,15.449
singing cheerfully,8,8,15.507
through laughter,8,8,17.975
with growing confidence,8,8,15.083
"chinese accent, formal tone",8,8,14.288
voice lowering conspiratorially,8,8,16.106
warming,8,8,16.447
disappointed sigh,8,8,19.420
"regular voice, confused",8,8,13.180
angry sob,8,8,16.872
howling with laughter,8,8,17.641
voice rising with panic,8,8,14.730
more proudly,8,8,14.881
fierce,8,7,13.118
angry again,8,7,15.488
chuckles lightly,8,8,18.028
"russian accent, thoughtfully",8,6,12.908
"quieter, venomous",8,7,13.126
voice becoming defensive,8,8,12.054
specifically,8,8,18.724
"brazilian accent, proudly",8,8,14.958
approvingly,8,8,17.380
admiring tone,8,8,13.198
"manchester accent, wearily",8,6,15.793
"manchester accent, quieter",8,6,16.484
voice becoming uncertain,8,8,14.112
joyful shriek,8,8,17.367
breathes deeply,8,8,18.663
increasingly joyful,8,8,14.955
voice ringing with happiness,8,8,14.752
more exhilarated,8,8,15.573
triumphant yell,8,8,14.592
squeaking,8,8,14.328
curious whisper,8,8,13.691
shrieking with laughter,8,8,14.895
celebratory tone,8,8,13.845
negotiating,8,8,16.393
voice growing harder,8,8,13.851
pleased sigh,8,8,18.572
more peacefully,8,8,17.330
relieved chuckle,8,7,16.532
slower with each word,8,8,20.490
gravelly tone,8,7,17.236
joyfully emphatic,8,8,15.636
more detailed,8,7,17.417
singing slightly,8,8,14.259
squeaks,8,8,12.339
spiritedly,8,8,15.241
humming thoughtfully,8,8,17.217
in a measured tone,8,8,16.752
perking up sarcastically,8,8,15.344
sobbing laugh,8,8,17.572
voice faltering at the end,8,8,13.822
"dutch accent, defensively",8,8,11.697
voice dissolving,8,8,17.948
breathless wonder,8,8,17.793
speeding up joyfully,8,7,14.564
voice rising with urgency,8,8,12.561
"boston accent, thoughtfully",8,4,12.047
embarrassed chuckle,8,8,14.438
renewed energy,8,8,13.516
dismissive chuckle,8,8,14.718
broken,8,7,19.311
quietly amazed,8,8,19.652
practically squealing,8,8,14.306
"nigerian accent, firmly",8,5,11.106
accusingly playful,8,8,14.398
whispered amazement,8,8,15.665
mischievous tone,8,8,14.837
checking schedule,8,8,19.209
suddenly hopeful,8,8,16.612
voice growing stronger with each word,8,8,16.145
coolly,8,7,15.677
words slowing with menace,8,8,18.107
"regular voice, enthusiastic",8,8,18.168
keening wail,8,8,16.885
cautious,8,8,16.262
whispered aside,8,8,16.680
voice growing louder,8,8,12.005
determined joy,8,7,14.862
"south african accent, gently",8,3,10.111
words getting faster,8,8,17.934
excitedly shouting,8,7,11.374
understanding laugh,8,8,19.630
radiantly happy,8,7,13.983
fake concern,8,8,15.600
quietly proud,8,8,15.940
calling after,8,8,14.756
suddenly alert,8,8,13.811
roaring laughter,8,8,20.949
speeding up with thrill,8,7,13.196
triumphant roar,8,8,20.565
practically glowing,8,8,12.686
voice softening with each word,8,8,13.699
cheerful tone,8,8,16.702
"japanese accent, thoughtfully",8,8,16.619
"posh british accent, indignantly",8,6,15.012
"japanese accent, respectfully",8,8,14.177
"japanese accent, solemnly",8,7,13.806
voice warming up,8,7,15.250
rising excitement,8,8,15.545
mechanical,8,8,14.604
"texas accent, firmly",8,5,14.779
voice dropping to amazement,8,7,14.078
sudden panic,8,7,16.734
"normal voice, helpful",8,8,11.537
ending in whisper,8,8,16.404
"regular voice, nervously",8,8,17.361
"regular voice, impressed",8,8,14.060
voice strengthening with each word,8,6,13.456
theatrical sigh,8,8,17.568
"normal voice, defensive",8,8,12.695
educational tone,8,8,17.924
more decisively,8,8,17.234
"normal voice, whispering",8,7,17.874
nervously laughs,8,8,17.100
speeding up with each word,8,8,13.011
"geordie accent, enthusiastically",8,7,10.364
"canadian accent, sympathetically",8,3,15.136
resigned acceptance,8,8,17.470
"american accent, defensive",8,4,16.170
serious whisper,8,8,13.700
"boston accent, defensively",8,3,9.679
american accent,8,3,16.434
"in jamaican accent, commanding tone",8,8,17.658
voice soaring with happiness,8,8,12.416
"arabic accent, measured tone",8,5,13.436
thunderous laugh,8,8,21.982
"new york accent, booming",8,4,13.706
"normal voice, aside",7,7,14.312
"quieter, more serious",7,7,12.810
"french accent, defensively",7,4,16.773
voice dropping to a murmur,7,7,14.592
"italian accent, passionate",7,4,9.533
"italian accent, defensive",7,3,8.688
voice building with pride,7,7,10.107
voice bubbling with enthusiasm,7,7,14.034
dismissive laugh,7,7,12.755
screaming pitch,7,7,12.018
voice rising in panic,7,7,11.660
organized tone,7,7,15.146
defiant,7,6,13.739
embarrassed whisper,7,7,14.419
warm pride,7,7,13.266
celebratory,7,7,13.984
reflective pause,7,7,17.867
suddenly interested,7,7,15.929
deadly quiet,7,7,15.272
considerately,7,7,16.215
emotionally happy,7,7,15.149
voice fragmenting,7,7,14.946
voice soaring upward,7,6,14.490
getting softer,7,7,17.606
shrieking laughter,7,7,20.714
voice strengthening with resolve,7,7,16.227
faster words,7,7,15.307
deep growl,7,7,17.342
calm,7,7,14.981
heavily,7,6,15.471
soft whimper,7,7,15.246
increasingly playful,7,7,15.607
voice lifting with interest,7,7,14.323
crescendo of happiness,7,7,16.251
more spirited,7,7,16.292
icy calm,7,7,15.120
erupting happily,7,7,15.723
mock outrage,7,7,14.349
concerned whisper,7,7,16.994
weakening,7,7,13.531
more impressed,7,7,14.717
fierce conviction,7,7,15.006
ending in pure elation,7,6,12.210
gently firm,7,7,15.941
firmly reassuring,7,7,17.020
rapid whisper,7,7,13.933
sympathetic groan,7,7,17.193
rapid fire,7,5,12.921
regaining composure,7,7,15.897
struggling with words,7,7,15.176
soft growl,7,6,16.638
chokes,7,7,11.078
darker tone,7,7,15.133
tired but happy,7,7,13.483
harsh exhale,7,7,16.021
voice overflowing,7,6,17.465
clearing throat roughly,7,7,15.586
contemplative rumble,7,7,22.070
stifled sob,7,7,15.544
panicked rush,7,7,12.581
"scouse accent, laughing",7,7,12.464
tired chuckle,7,7,14.884
"german accent, firmly",7,5,11.958
growing confident,7,7,16.959
"german accent, mysteriously",7,5,9.069
"caribbean accent, weary",7,5,13.962
"caribbean accent, bitter laugh",7,7,14.435
sinister giggle,7,7,16.974
overflowing with emotion,7,7,16.469
voice quickening with enthusiasm,7,7,12.047
"spanish accent, sarcastically",7,6,14.062
"spanish accent, commanding tone",7,7,12.675
"spanish accent, wearily",7,6,18.101
"normal voice, quietly",7,7,18.015
voice becoming lighter,7,7,13.592
voice exploding,7,7,13.915
slightly defensive,7,7,18.460
guilty whisper,7,7,16.497
vibrating with energy,7,7,13.864
softer still,7,7,16.738
compassionate,7,7,17.420
deeply moved,7,7,17.400
disbelieving laugh,7,7,15.631
amazed gasp,7,7,15.869
sobbing joyfully,7,7,16.547
firm voice,7,7,15.928
resolute,7,7,16.394
excitedly rambling,7,7,13.390
mock gasp,7,7,16.622
building with anticipation,7,7,15.292
quieter admission,7,7,15.823
high-pitched squeal,7,6,14.530
breaking completely,7,7,17.781
melodic tone,7,7,18.618
laughingly,7,7,14.711
frustrated shout,7,7,15.119
slightly appeased,7,7,15.905
with growing excitement,7,7,12.950
contemptuous,7,7,16.562
clinical precision,7,7,20.720
overwhelmed with gratitude,7,7,15.404
hums thoughtfully,7,7,14.856
"normal voice, moved",7,6,15.013
"scottish accent, warmly",7,4,15.794
"regular voice, relieved",7,7,14.313
unwavering,7,7,18.691
voice quivering,7,7,14.986
excited shouting,7,7,17.510
booming laugh,7,7,14.437
astonished,7,7,14.306
rapidly with excitement,7,7,12.682
"israeli accent, urgently",7,7,11.748
bellow,7,5,14.130
gruff affection,7,7,16.808
voice softening then rising,7,7,18.124
more agitated,7,6,15.931
hollering,7,7,14.873
panicked shout,7,6,13.428
contemplative whisper,7,6,19.448
chortles,7,7,16.379
building to roar,7,7,16.828
shaky inhale,7,7,14.182
getting quieter each word,7,7,15.731
suddenly yelling,7,7,14.500
mysterious tone,7,7,15.669
victorious shout,7,7,14.758
tinkling laughter,7,7,17.178
bouncing excitedly,7,7,14.136
playfully teasing,7,6,15.520
increasingly thrilled,7,7,15.541
triumphant trill,7,7,19.105
voice dripping honey,7,7,19.740
ominously quiet,7,7,15.002
"northern irish accent, defensively",7,6,14.680
"northern irish accent, resigned",7,7,14.253
chuckles weakly,7,7,17.296
even quieter,7,7,16.029
increasingly bitter,7,7,20.032
in pure elation,7,7,14.385
through sobs,7,7,19.338
"african-american accent, warmly",7,5,8.867
"african-american accent, thoughtfully",7,3,13.178
"african-american accent, gently",7,7,14.092
building with passion,7,7,11.516
dreamy sigh,7,7,17.411
quiet wonder,7,7,17.597
voice catching with emotion,7,7,16.075
voice rising with amusement,7,7,13.024
emotionless,7,6,15.930
voice softening considerably,7,7,12.416
reflective whisper,7,7,18.317
more accusingly,7,7,12.972
"quieter, pleading",7,7,10.994
"manchester accent, sarcastically",7,6,13.810
"brazilian accent, urgently",7,7,10.314
"manchester accent, gruff",7,4,10.387
crescendoing with joy,7,7,13.693
checking screen,7,7,20.128
laughing maniacally,7,7,16.048
sulking,7,6,19.232
rising volume,7,7,16.024
excitedly rapid,7,7,14.536
"dutch accent, bitter laugh",7,7,11.370
gulping air,7,7,17.052
words catching in throat,7,7,14.366
low whistle,7,7,14.575
frantically happy,7,7,11.908
"slower, meaningful",7,7,16.850
fake cheerful,7,7,14.752
mock enthusiasm,7,7,16.069
slightly louder,7,7,15.228
voice getting louder with each word,7,7,15.605
voice dripping with contempt,7,7,11.237
joyful disbelief,7,7,14.495
genuine tone,7,7,18.379
speeding up sarcastically,7,7,17.091
jokingly stern,7,6,15.453
"manchester accent, pleading",7,5,15.592
efficient,7,6,20.447
bitter edge,7,7,13.609
voice catching mid-sentence,7,7,15.946
"australian accent, defensive",7,5,13.191
voice cracking with excitement,7,7,14.545
"russian accent, booming",7,5,14.875
grunts,7,7,18.008
contentedly sighing,7,7,18.465
philosophical whisper,7,6,15.683
barely contained excitement,7,7,13.508
growing excited,7,7,13.234
each word more emphatic,7,7,17.482
through clenched teeth,7,7,21.012
voice dissolving into tears,7,7,15.575
building in intensity,7,7,16.675
through giggles,7,7,17.067
laughing delightedly,7,7,15.359
helpful whisper,7,7,21.467
overwhelmed with emotion,7,7,17.800
sobbing happily,7,7,15.610
crisp articulation,7,7,17.774
distracted,7,7,14.878
battle cry,7,7,14.836
dripping with disdain,7,7,17.007
"geordie accent, defensive tone",7,7,8.848
voice trembling with anticipation,7,7,12.667
"normal voice, appreciative",7,7,14.810
amazed whistle,7,7,16.865
rumbling chuckle,7,7,20.469
suddenly calm,7,7,15.277
slightly embarrassed,7,7,16.611
"quieter, hurt",7,6,14.938
growling undertone,7,7,17.974
even more excited,7,7,12.582
suddenly cheerful,7,7,14.603
voice shimmering with joy,7,7,14.731
"nigerian accent, urgently",7,5,8.638
scoffing sound,7,7,13.322
words slowing for emphasis,7,7,14.750
"slower, more deliberately",7,7,18.014
quiet,7,7,14.418
"african-american accent, determined",7,4,10.864
"regular voice, satisfied",7,6,9.958
wounded,7,7,15.166
diplomatic tone,7,7,17.508
voice getting lighter and more playful,7,7,14.302
warm laughter,7,7,13.240
words catching,7,7,14.429
growing passionate,7,7,15.751
soft crying,7,6,19.283
in a teasing voice,7,7,16.318
voice growing firm,7,6,16.396
voice cracking with frustration,7,6,15.511
overwhelming joy,7,7,12.311
searching,7,6,16.685
voice becoming steelier,7,5,18.619
voice rising confidently,7,7,14.232
considering slowly,7,7,19.113
"hispanic accent, defensively",7,6,16.550
voice becoming friendlier,7,7,15.126
"israeli accent, firmly",7,7,16.372
rising intensity,7,7,17.911
dryly amused,7,7,17.482
clapping sounds,7,7,15.592
warmly encouraging,7,6,14.997
excited shout,7,7,17.462
"regular voice, thoughtful",7,7,17.152
"nigerian accent, contemplative",7,5,15.968
"eastern european accent, philosophical",7,7,20.231
more certainly,7,7,16.420
gentle exhale,7,7,17.641
"regular voice, amused",7,7,10.669
proud laugh,7,7,13.385
"scouse accent, sarcastically",7,7,11.358
wet laugh,7,7,15.460
peaceful sigh,7,7,18.516
concentrating,7,6,17.227
"irish accent, wearily",7,3,15.068
"northern irish accent, defensive",7,7,14.039
thunderous bellow,7,7,21.347
voice softening dangerously,7,7,17.142
"japanese accent, proudly",7,7,15.497
"normal voice, hesitant",7,7,9.879
"texas drawl, booming",7,4,16.317
"japanese accent, hesitant",7,7,14.229
"caribbean accent, measured fury",7,7,16.494
more calmly but intensely,7,7,16.494
reassuring rhythm,7,7,15.745
"british accent, getting heated",7,7,15.016
"eastern european accent, methodical tone",7,7,17.065
soft breath,7,7,16.200
relieved whisper,7,7,14.775
each word emphasized,7,7,15.245
voice speeding up with enthusiasm,7,7,13.219
trailing off ominously,7,7,14.479
quiet amazement,7,7,16.270
"dutch accent, desperately",7,7,11.413
sheepish,7,7,15.938
tiny voice,7,7,17.447
voice rising with suspicion,7,7,16.537
"eastern european accent, measured tone",7,7,12.342
"quieter, determined",7,7,13.223
voice building with intensity,7,7,12.473
"spanish accent, pleading",7,4,8.028
voice brightening artificially,7,6,14.884
"american accent, firmly",7,4,16.207
"brazilian accent, warm tone",7,7,14.734
british accent,7,3,14.390
caught off guard,7,7,16.047
"canadian accent, thoughtfully",7,3,15.850
voice growing bolder,7,7,12.606
voice cracking midway,7,6,13.654
"scouse accent, skeptically",7,7,14.705
"californian accent, defensive tone",7,6,13.571
"new york accent, gruff tone",7,4,15.362
voice thick with gratitude,7,7,14.574
acknowledging,7,7,17.097
frustrated mumbling,6,6,16.572
more specifically,6,6,19.233
words slowing down deliberately,6,6,13.881
voice faltering mid-sentence,6,6,14.830
building passion,6,6,13.913
maniacal giggle,6,6,18.437
cautioning,6,6,18.202
defensive squeaking,6,6,14.689
in pure delight,6,6,14.284
whispered fiercely,6,6,17.657
serious undertone,6,6,15.270
fierce pride,6,6,14.515
with growing pride,6,6,14.828
reverent,6,6,14.052
slightly warmer,6,6,15.225
trembling with anger,6,6,15.655
quietly firm,6,6,13.595
laughs darkly,6,6,16.380
grinding out words,6,6,14.468
dropping to murmur,6,6,17.936
cheerfully rapid,6,6,14.501
barely contained rage,6,6,16.317
more exuberant,6,6,16.833
each word more deliberate,6,6,19.452
voice dancing upward,6,6,15.499
hiccupping laugh,6,5,17.198
explosive volume,6,6,15.761
mockingly cheerful,6,6,17.818
somewhat appeased,6,6,16.330
determined shout,6,6,15.947
hollow chuckle,6,6,18.402
excitedly bouncing,6,6,13.231
squealing slightly,6,5,14.746
with sudden clarity,6,6,11.676
matching enthusiasm,6,6,17.183
controlled rage,6,6,17.821
building panic,6,6,14.094
voice dancing with amusement,6,6,14.290
voice accelerating with glee,6,5,13.394
with pride,6,5,15.638
maniacal laughter,6,6,15.639
more solemnly,6,6,14.794
soft cackle,6,6,19.383
professional closing,6,6,20.235
voice growing confident,6,6,11.608
voice gentler,6,6,11.260
"london british accent, pompously",6,5,16.959
voice cracking halfway through,6,6,15.164
"australian accent, firmly",6,4,12.925
voice cracking with disbelief,6,6,14.144
voice becoming harder,6,5,15.707
voice dropping sadly,6,5,15.188
sharp emphasis,6,6,10.948
icy tone,6,5,17.904
methodical,6,6,21.488
spits words,6,6,15.238
piercing scream,6,6,15.848
lower growl,6,6,16.733
regular tone,6,6,13.435
broken laugh,6,6,17.456
awestruck,6,6,17.269
trailing to silence,6,6,16.692
ending in happy tears,6,5,17.412
confused pause,6,5,16.171
philosophical drawl,6,6,18.344
voice fading out,6,6,19.726
pained,6,6,14.213
gasping happily,6,6,14.477
building intensity with each word,6,6,14.237
in a measured pace,6,6,16.044
sobbing gasp,6,6,16.672
hushed urgency,6,6,11.128
voice growing tender,6,6,12.153
voice becoming more confident,6,6,10.129
voice becoming quieter,6,5,19.138
"posh british accent, contemplatively",6,5,15.388
"posh british accent, uncomfortably",6,4,15.492
words tumbling joyfully,6,6,13.086
bitter cackle,6,6,17.323
grandly,6,6,15.544
"spanish accent, thoughtfully",6,6,15.944
"spanish accent, coldly",6,5,13.936
voice heavy with emotion,6,6,14.277
beaming with joy,6,6,15.537
building with enthusiasm,6,6,14.170
erupting with glee,6,5,14.352
defensive mumble,6,6,13.090
negotiating tone,6,6,14.520
trembling excitement,6,6,16.078
confessional whisper,6,6,14.306
words spilling out eagerly,6,6,13.158
growing confidence,6,6,14.401
tearfully joyful,6,6,15.632
almost yelling,6,6,10.996
tearful laugh,6,5,15.788
"quieter, worried",6,6,15.164
dramatically slower,6,6,17.819
mock hurt,6,6,17.874
in a low rumble,6,6,16.673
triumphant cry,6,6,17.904
proudly announcing,6,6,15.556
nervous whisper,6,6,14.654
fake sympathy,6,5,14.060
frustrated roar,6,6,17.384
"slowly, meaningfully",6,6,16.568
mock seriousness,6,6,17.731
low and menacing,6,6,19.388
gulping,6,6,14.856
building crescendo,6,6,15.978
quicker pace,6,6,12.887
voice breaking with happiness,6,6,14.857
unimpressed,6,6,19.928
growing steadier,6,6,15.373
hearty chuckle,6,6,15.250
"german accent, excitedly",6,5,11.309
explosive finish,6,6,14.223
affectionately amused,6,6,15.871
triumphant finish,6,5,16.066
slowing with emphasis,6,6,16.065
cheerfully shouting,6,6,13.916
building suspense,6,6,14.529
bursting with happiness,6,6,14.418
rising again,6,6,14.801
increasingly dramatic,6,6,16.027
beaming with pride,6,6,16.276
slightly relieved,6,6,15.371
whistles appreciatively,6,6,15.807
mysteriously lower,6,6,16.320
thoughtful humming,6,6,16.863
joyful emphasis,6,5,14.465
quiet fury,6,6,16.020
shrill,6,6,12.992
explosive happiness,6,6,15.888
excited squeak,6,6,15.898
with growing strength,6,5,14.693
rapid breathing,6,6,15.885
haughtily,6,5,16.394
voice shaking violently,6,6,13.496
"french accent, amused",6,4,16.060
more uncertainly,6,5,13.598
still laughing,6,6,18.089
huffing,6,6,15.696
harsh breath,6,6,15.848
manic energy,6,6,14.675
proud exhale,6,6,14.015
getting slower,6,6,18.412
laughing melodiously,6,6,16.007
hmm,6,6,20.310
shouting back,6,6,12.325
gasping between words,6,6,17.165
gentle now,6,6,16.027
building to climax,6,6,13.006
voice climbing with each word,6,6,14.735
soft cry,6,6,17.600
more sadly,6,6,15.088
"african-american accent, passionate",6,4,12.770
anguished howl,6,6,16.752
more respectfully,6,5,13.898
voice becoming stronger,6,6,14.553
getting serious,6,6,16.296
"russian accent, mockingly",6,5,14.272
"russian accent, dismissively",6,5,12.720
"russian accent, coldly",6,4,16.534
voice heavy with meaning,6,5,10.902
voice becoming bitter,6,6,9.344
"eastern european accent, weary tone",6,6,13.660
suggesting,6,6,16.635
"manchester accent, bitterly",6,5,12.530
"brazilian accent, warmly",6,6,17.073
"manchester accent, defensive tone",6,4,13.479
uncomfortable chuckle,6,6,14.347
exhaustedly,6,6,17.225
"cockney accent, defensively",6,5,13.530
voice dropping to confidential tone,6,6,13.404
rattling off quickly,6,6,14.800
vulnerably,6,6,15.516
"normal voice, embarrassed",6,6,9.445
gentle but insistent,6,6,13.722
explosive giggle,6,6,13.454
warmly confident,6,6,15.095
bursting out,6,6,17.025
voice becoming threatening,6,6,15.104
with admiration,6,6,15.781
melodic laugh,6,6,19.148
shouting angrily,6,6,14.134
barely there,6,5,14.247
forced laugh,6,6,14.814
"chinese accent, hesitant",6,6,15.333
suddenly energetic,6,6,11.830
words barely audible,6,6,17.335
knowledgeably,6,6,17.036
fascinated,6,6,13.550
voice bright with emotion,6,6,15.536
gasping with joy,6,6,15.252
scoffs loudly,6,6,16.520
delighted squealing,6,6,15.816
increasingly upbeat,6,6,14.408
clearer voice,6,6,20.027
excitedly babbling,6,6,13.749
"louder, excited",6,6,14.166
"softer, meaningful",6,6,15.755
in a playful tone,6,6,13.595
lovingly firm,6,6,17.441
increasingly angry,6,6,18.247
sighs wistfully,6,6,17.405
"dutch accent, agitated",6,6,10.056
"dutch accent, trembling",6,6,10.445
"arabic accent, contemplative",6,5,16.070
dismissive sigh,6,6,17.164
"latino accent, determined",6,3,8.886
voice floating,6,6,14.380
voice dancing with enthusiasm,6,6,15.799
bursting with enthusiasm,6,6,13.036
hurried whisper,6,6,12.985
shuffling,6,6,16.062
clearing throat again,6,6,13.183
chomping sounds,6,6,20.994
laughing breathlessly,6,5,14.596
giggling wildly,6,6,15.091
desperately loud,6,6,14.713
seething whisper,6,6,19.234
building to a scream,6,6,16.235
voice trembling happily,6,6,15.657
in a thick voice,6,6,15.468
more pleadingly,6,6,13.369
voice tumbling out faster,6,6,13.892
"quieter, more threatening",6,6,15.839
quick intake of breath,6,6,15.216
final whisper,6,6,17.934
crying out,6,6,14.743
ending in frustration,6,6,12.814
nigerian accent,6,2,7.093
voice quivering with joy,6,5,15.569
shuddering exhale,6,6,15.816
african-american accent,6,2,12.736
"african-american accent, weary",6,4,10.341
"californian accent, defensive",6,3,13.423
voice racing,6,6,13.972
sorrowful,6,6,16.298
protesting,6,6,15.284
mystical whisper,6,6,19.256
calling out cheerfully,6,6,12.819
halting,6,6,15.061
bright laugh,6,6,14.172
frustrated tone,6,6,14.259
voice ringing out,6,6,16.776
more strained,6,6,17.701
slightly confused,6,6,15.120
gleeful,6,6,14.322
slightly offended,6,6,18.278
coaxing,6,6,13.411
measured threat,6,6,16.474
"latino accent, gently",6,3,13.586
voice hardening with each word,6,5,15.061
desperate shout,6,6,16.005
with satisfaction,6,5,15.834
sighs softly,6,6,18.922
"south african accent, measured tone",6,3,12.520
"south african accent, warmly",6,4,13.668
"south african accent, thoughtfully",6,3,13.137
whispers intensely,6,6,17.930
suddenly fierce,6,6,16.347
shaking with emotion,6,6,14.580
"israeli accent, wearily",6,6,16.168
"hispanic accent, wearily",6,6,19.102
hispanic accent,6,4,15.703
amused trill,6,6,18.941
nostalgic murmur,6,6,18.208
in a dreamy voice,6,6,14.958
affectionate tone,6,6,16.257
tired exhale,6,6,17.114
anguished cry,6,6,16.920
wistfully happy,6,6,13.448
"welsh accent, weary",6,6,16.117
"normal voice, struggling",6,6,15.079
"quieter, contemplative",6,6,12.884
defeated monotone,6,6,18.232
bellowing laughter,6,6,19.906
quiet admission,6,6,17.985
melting tone,6,5,16.256
panic rising,6,6,14.440
"normal voice, frustrated sigh",6,6,11.036
"eastern european accent, weary",6,6,16.104
pleading now,6,6,11.624
"hispanic accent, urgently",6,6,11.690
ironic tone,6,6,15.742
"in jamaican patois, commanding tone",6,6,16.452
courteously,6,6,16.968
"posh british accent, thoughtfully",6,5,16.948
"welsh accent, defensive",6,6,14.243
voice rising frantically,6,6,14.893
suddenly concerned,6,5,17.554
"israeli accent, authoritative tone",6,6,14.476
israeli accent,6,3,16.601
stopping abruptly,6,6,15.201
reading,6,6,16.942
embarrassed grumble,6,5,19.981
"softer, amazed",6,6,16.484
